"title","artist","album","year","duration"
"Murder Collection (Skit)","Cryptik X Tha Morb1d","Lost Tapes (Complete Collection)",2012,""
"Dirty Karaoke Skit","Cuban Link","Chain Reaction",2005,""
"Panties (Skit)","Cuete Yeska","Legend Of A Gangster",2008,""
"Dougie Skit","Cuete Yeska","Tales Of Cuete James",2013,""
"My Mistake (Skit)","Cuete Yeska","Love Stories",2006,""
"Big Smokin' (Skit) Naybahood Watch","Cultjah Dreamz","Heaven & Hell",2002,""
"The Fallationelles (Skit)","Cunninlynguists","Sloppy Seconds Volume One",2003,"2:38"
"The Talk (Skit)","CunninLynguists","Sloppy Seconds Vol. 2",2005,"3:32"
"We're From The Internet (Skit)","Cunninlynguists","Sloppy Seconds Volume One",2003,"3:44"
"The Party (Skit)","CunninLynguists","Sloppy Seconds Vol. 2",2005,"2:30"
"React (Cut Chemist Skit)","Cut Chemist","Tunnel Vision - The Works Of Cut Chemist",2004,"1:02"
"Blacktop Beat Skit","Cut Chemist","Tunnel Vision - The Works Of Cut Chemist",2004,"4:06"
"Money (Skit)","Cutthroat (2)","Community Activist",2007,""
"News Break (Skit)","Cutthroat (2)","Community Activist",2007,""
"Wo Di Do Skit","Cutthroat Committee","Money Iz Motive",2005,""
"Reek Daddy Skit","Cutthroat Committee","Money Iz Motive",2005,""
"The Housecall - Skit - In Real Life Tho","Cuzzin Ice Lecta","Danger Zone",2004,""
"We Saw Yr Stuff (Krak Solution Skit)","CX KiDTRONiK","Black Girl White Girl",2010,""
"Bow Down Or Be Destroyed (Skit)","CX KiDTRONiK","Black Girl White Girl",2010,""
"Skit","Cyco (3)","Street Chronicles",2004,""
"Ivy League Skit","CyHi Da Prynce","Ivy League Club",2012,"0:11"
"My Nephew Dropping Jewels Skit","Cymarshall Law","Hip Hop In The Flesh",2007,"0:17"
"Mom's Beef Skit","Cymarshall Law","Hip Hop In The Flesh",2007,"0:37"
"Jamn 94.5 Radio Skit","Cyrus Tha Great","50 MC's 2004",2004,""
"Skit #1","Czar-Nok","That One Way",2005,""
"Skit #2","Czar-Nok","That One Way",2005,""
"Skit","D Gotti","Street Sermon",2000,"0:45"
"It Iz 2 (Skit)","D-Iz-Ill","The Sickness",2000,""
"It Iz (Skit)","D-Iz-Ill","The Sickness",2000,""
"(Skit)","D-Lo (2)","Reality",2000,""
"Skit","D-Moe","Hype Mode",2007,"0:22"
"Skit","D-Rek","Trill Shottaz",2012,"0:11"
"Bees With You (Skit)","D-Sisive","Let The Children Die",2009,""
"Backpacker Skit","D-Tension (2)","Contacts & Contracts II",2006,"0:46"
"Gangsta Granny (Skit)","D.B.A. (3)","Doing Business As",1999,""
"Gangsta Granny (Skit #2)","D.B.A. (3)","Doing Business As",1999,""
"I'm Outside Skit","D.S.G.B.","'Til Death Do Us Part",2003,"4:14"
"Phone Call Skit","D.S.G.B.","'Til Death Do Us Part",2003,"0:31"
"Shampoo Skit.","D.V. Alias Khrist","Presents Govarmynt Officials Vol. 2",2005,"0:41"
"Bishop Don Skit.","D.V. Alias Khrist","Presents Govarmynt Officials Vol. 2",2005,"1:25"
"Bizarre (Skit)","D12","Devils Night",2001,"1:12"
"Steve's Coffee House (Skit)","D12","D12 World",2004,""
"Steve Berman (Skit)","D12","Devils Night",2001,"0:50"
"Dude (Skit)","D12","D12 World",2004,""
"Obie Trice (Skit)","D12","Devils Night",2001,"1:07"
"Skit - Mama?!","D12","Detroit, What? Snippet",2000,""
"That's How (Skit)","D12","Devils Night",2001,"0:37"
"Skit - Where My Kids At?","D12","Detroit, What? Snippet",2000,""
"Skit - Eminem","D12","Detroit, What? Snippet",2000,""
"Skit - F**kin' Yo Mama","D12","Detroit, What? Snippet",2000,""
"Bugz '97 (Skit)","D12","D12 World",2004,""
"Skit - Gay Health Club","D12","Detroit, What? Snippet",2000,""
"Intro Skit","D12","Detroit, What? Snippet",2000,""
"Majic Marv (Skit)","Da Bad Guys","The Fallout",2003,""
"Skit","Da Bay Boys","Wanted Dead Or Alive",2005,""
"Stripper Skit","Da Bulldogs","Almost Famous",2003,"0:55"
"Skit (Cooper)","Da Dynasty","A Game",2004,""
"Poetic-Point Skit","Da Grace Boys","#ScrewDaWorld",2014,"1:03"
"It's Whateva (Skit)","Da Hol' 9","That Hella Thurl Shit",2003,"1:33"
"Pimpin Ken (Skit)","Da Hood (3)","Mack 10 Presents Da Hood",2002,"1:05"
"Get Yo Ride On (Skit)","Da Hood (3)","Mack 10 Presents Da Hood",2002,"0:17"
"Interlude 3/Jazz Skit","Da King & I","Contemporary Jeep Music",1993,"0:20"
"The Preparation (Skit) [Explicit]","Da Monsta","Mississippi State Of Mind [Explicit]",2012,"0:36"
"The Hater (Skit)","Da Productz","Lavish Life Styles",1998,""
"Da Answering (Skit)","Da Productz","Lavish Life Styles",1998,""
"Not At All (Skit)","Da Rangaz","All Night Flightaz",1999,""
"Buncha Bitches (Skit)","Da Rangaz","All Night Flightaz",1999,""
"Drunk (Skit)","Da Ranjahz","Who Feels It Knows",2003,""
"Mr. Busha (Skit)","Da Ranjahz","Who Feels It Knows",2003,""
"Colors (Skit)","Da Underdawgz","The 1st One Is For Pimp",2012,""
"Under Construction (Skit)","Da Underdawgz","The 1st One Is For Pimp",2012,""
"Criminal Code Law (Skit)","Da Underdawgz","The 1st One Is For Pimp",2012,""
"Eazy-e Skit","Daddy V","West Coast Music",0,"0:32"
"Thank You Skit","Daddy V","West Coast Music",0,"0:36"
"Come2thewestcoast Skit","Daddy V","West Coast Music",0,"0:24"
"Let's Do It Again Skit","Daddy V","West Coast Music",0,"0:27"
"I Just Wanna Taste (Skit)","Dai Burger","Mymixxxytape",2010,""
"I.M.Y. (I Miss You) - DASSIT! Skit","Dai Burger","Raw Burger",2011,""
"Skit","Dallas Gold","Cliff Notez The LP",2010,""
"Skit","Damu","One Shot Kill",2004,""
"Skit 2","Danger Doom","Occult Hymn EP",2006,"3:17"
"Skit 1","Danger Doom","Occult Hymn EP",2006,"1:16"
"Phat Phat Interview (Skit)","Dangerfield","Dangerfield",2005,""
"Skit","Daniel Black (3)","The Cheese Stands Alone",2010,"0:33"
"Simple Clarence (Skit)","Danja Mowf","Word Of Mowf",1997,""
"Hatewear (Skit)","Danny Diablo","Street C.D. Volume #2",2005,""
"Pitchfork (Skit)","Danny Diablo","Street C.D. Volume #2",2005,""
"Trizzmaster (Skit)","Danny Diablo","Street C.D. Volume #2",2005,""
"Coke Snore (Skit)","Danny Diablo","Street C.D. Volume #2",2005,""
"Skit","Dat Boi Mikee","Southern Life Chapter I",2010,"0:23"
"The Skit","Dave Bing","Southside 118",0,""
"Hustlers Guide Skit 1","David Banner","Hustlers Guide To The Game",2007,""
"Hustlers Guide Skit 2","David Banner","Hustlers Guide To The Game",2007,""
"Short Short Man (Skit)","David Faustino aka Lil Gweed","Delirium Tremens",2012,""
"Bus Stop (Skit)","Dawhud","Basement Sessions",2008,"0:39"
"Full Circle (Skit / Outro)","Dawhud","Basement Sessions",2008,"0:30"
"Welcome Back To 89.3 (Skit)","Dawhud","Basement Sessions",2008,"1:15"
"89.3 Late Night Marauders (Skit)","Dawhud","Basement Sessions",2008,"0:51"
"Diggin' (Skit)","Dawhud","Basement Sessions",2008,"0:19"
"How I Met Dawhud (Skit)","Dawhud","Basement Sessions",2008,"0:29"
"School Hallways (Skit)","Dawhud","Basement Sessions",2008,"0:31"
"Flash Forward (Skit)","Dawhud","Basement Sessions",2008,"0:46"
"The Funeral (Skit)","Daz Dillinger","Tha Dogg Pound Gangsta LP",2005,""
"If U Want This Pussy (Skit)","Daz Dillinger","R.A.W.",2000,""
"Super Cuz (Skit)","Daz Dillinger","R.A.W.",2000,""
"Put'n It Down (Skit)","Daz Dillinger","Gangsta Crunk",2005,"0:38"
"It All Goes Down (Skit)","Daz Dillinger","Gangsta Crunk",2005,"1:05"
"Skit 4","De La Soul","De La Soul Is Dead",1991,"0:12"
"Double Huey Skit","De La Soul","3 Feet High And Rising",2001,"3:52"
"Skit 3","De La Soul","De La Soul Is Dead",1991,"0:33"
"Skit 2","De La Soul","De La Soul Is Dead",1991,"0:30"
"Skit 1","De La Soul","De La Soul Is Dead",1991,"0:25"
"Skit 5","De La Soul","De La Soul Is Dead",1991,"0:32"
"Skit #2 (Black Helmet Man)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Skit #8 (Still A Nigga)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Skit #1 (Ruun)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Skit #5 ('Cause He Was Black)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Skit #4 (Payin Dues ??)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Skit #6 (Tasty Black Boys)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Skit #3 (W\\ Your Record)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Skit #7 (Prologue To Black Superman)","De Retarded Gene-Yis","I Have De Plan!",0,""
"Sweetback Billy (Skit)","De-C","Da Struggle",2001,""
"Intro (Skit)","De-C","Da Struggle",2001,""
"Hater Helmets (Skit)","De-C","Da Struggle",2001,""
"Surroundsings (Skit)","Dead Prez","Can't Sell Dope Forever: The Mix Tape Vol. 1",2006,""
"WRBG (Skit)","Dead Prez","Can't Sell Dope Forever: The Mix Tape Vol. 1",2006,""
"Dedication (Skit)","Dead Prez","Can't Sell Dope Forever: The Mix Tape Vol. 1",2006,""
"Skit","Deadly Khannection","Push ’Em Off",2001,""
"The Set Up (Skit)","Death B4 Dishonor","The Ascending (Soldier Edition)",2008,"0:59"
"Radio Skit","Debelah Morgan","It's Not Over",1998,"1:09"
"Skit #2","Declaime","Illmindmuzik",1999,""
"Cheebaskit","Declaime","Andsoitisaid",2001,"0:14"
"Get'em Skit","Declaime","Andsoitisaid",2001,"0:40"
"Sickman Skit","Declaime","Andsoitisaid",2001,"0:37"
"Welcome (Skit)","Declaime","Illmindmuzik",1999,""
"Get 'Em Skit","Declaime","Andsoitisaid",2001,""
"Skit #1","Declaime","Illmindmuzik",1999,""
"What's Going Down (Skit)","Declaime","Illmindmuzik",1999,""
"Look For The Signs (Skit)","Declaime","Illmindmuzik",1999,""
"Jazzylude (Skit)","Declaime","Illmindmuzik",1999,""
"Skit","Deentown Villians","2 Buck 4 Da Klub",2000,""
"Last Ones - Skit","Deesta Dee","24/7 Realism",2001,"0:17"
"Drama - Skit","Deesta Dee","24/7 Realism",2001,"0:48"
"Bristol - Skit","Deesta Dee","24/7 Realism",2001,"0:30"
"Ay Gurl Skit Feat The First Ladies","Def Dee","Deja Vu",2014,""
"Talk To Me (Skit)","Def Squad","Def Squad Presents Erick Onasis",2000,"1:41"
"President Of Babies Father (Skit)","Def Squad","El Niño",1998,""
"Mastering With E (Skit)","Def Squad","Def Squad Presents Erick Onasis",2000,"0:28"
"Babies Father Comittee (Skit)","Def Squad","El Niño",1998,""
"Lay 'em Down (Skit)","Def Squad","El Niño",1998,""
"World Announcement (Skit)","Def Squad","El Niño",1998,"1:28"
"Babies Father Committee (Skit)","Def Squad","El Niño",1998,"0:55"
"Full Cooperation / (Siminila) WDEF (Skit)","Def Squad","El Niño",1998,""
"Lay 'Em Down (Skit)","Def Squad","El Niño",1998,"1:06"
"Skit","Delax","Black Kennedys",1999,""
"Anxiety (Skit)","Denaun Porter","sTuFf In My BaCkPaCk",2015,"1:20"
"I Need Better Friends SMH (Skit)","Denaun Porter","sTuFf In My BaCkPaCk",2015,"1:30"
"Skit: Space Age Pimpin'","DenGee","DenGee Livin'",2000,""
"Skit: Ni**** At The Movies","DenGee","DenGee Livin'",2000,""
"Attack Of The Skrilla Gettas/ Collection Plate Skit","Denmark Vessey","Cult Classic",2013,""
"Skit","Dep Wudz","Family Redefined",2002,""
"Skit (Ray & Candy In Сar Talkin’)","Detroit G Code","The Album",2006,""
"Skit (Ray & K - What’s Up With That Nigga Fuze?!)","Detroit G Code","The Album",2006,""
"Ruthless Rufus (Skit)","Deux Process","In Deux Time",2006,"0:56"
"Your Favorite Radio Station (Skit 2)","Devin The Dude","One For The Road",2013,"1:28"
"Cultural Coughee (Skit)","Devin The Dude","Suite 420",2010,""
"Your Favorite Radio Station (Skit 1)","Devin The Dude","One For The Road",2013,"3:01"
"Your Favorite Radio Station (Skit 3)","Devin The Dude","One For The Road",2013,"1:44"
"Rotten 1 (Skit)","DFC (2)","The Whole World's Rotten",1997,""
"Rotten 2 (Skit)","DFC (2)","The Whole World's Rotten",1997,""
"Rotten 3 (Skit)","DFC (2)","The Whole World's Rotten",1997,""
"Rotten 4 (Skit)","DFC (2)","The Whole World's Rotten",1997,""
"Shut The *!*! Up Skit","Diamond D","Stunts, Blunts & Hip Hop",1992,"0:52"
"Lunchroom Skit","Diamond D","Stunts, Blunts & Hip Hop",1992,"0:27"
"Wolfman Stressed Out, Skit","Diamond D","Stunts, Blunts & Hip Hop",1992,"0:31"
"A View From The Underground Skit","Diamond D","Stunts, Blunts & Hip Hop",1992,"0:21"
"Last Train On The 2 Car Skit","Diamond D","Stunts, Blunts & Hip Hop",1992,"0:37"
"The Car Bomb (Skit)","Dica (2)","Live At Lucy In The Sky With Diamonds",2000,""
"I Don't Want 2 Die Skit 2","Dice (5)","Red Rain / Evil Angelz Runnin Thru Hell",2006,""
"Smoketown USA 2002 / Han-Out Skit 1","Dice (5)","Red Rain / Evil Angelz Runnin Thru Hell",2006,""
"Punish Tha Wicket Skit 1","Dice (5)","Red Rain / Evil Angelz Runnin Thru Hell",2006,""
"Piano Skit","Dido Brown","Bonafide",2005,""
"Whatever Man (Skit)","Die Antwoord","Ekstra",2010,"0:33"
"Pielie (Skit)","Die Antwoord","Ten$ion",2012,"0:09"
"Uncle Jimmy (Skit)","Die Antwoord","Ten$ion",2012,"1:21"
"Pete Sake The Producer (Skit)","Diezel P","Write Now!",2008,"1:50"
"Big Twin (Skit)","Dilated Peoples","Heavy Surveillance",2003,""
"1580 Skit","Dilated Peoples","Neighborhood Watch",2004,"1:13"
"Holy Guacamole (Skit)","Dillon Maurer","Studies In Hunger",2010,"1:15"
"Gotta Eat (Skit)","Dillon Maurer","Studies In Hunger",2010,"1:19"
"Strip Club (Skit)","Dippy Stylez","Where The Day Takes You",2005,""
"Makin Money (Skit)","Dirty (4)","The Art Of Story Telling",2007,"2:34"
"I Got 50 (Skit)","Dirty (4)","The Art Of Story Telling",2007,"0:37"
"Skit","Dirty (4)","Think Like A Pimp, Act Like A Gangsta",2013,"0:52"
"Snitcher (Skit)","Dirty (4)","The Art Of Story Telling",2007,"0:54"
"Yean Heard (Skit)","Dirty (4)","The Pimp & Da Gangsta",2001,"1:03"
"Skit","Dirty Boy Wolf Pak","Die Hard N' Dirty",2003,""
"Enemy Of The State (Skit)","Dirty Harry (3)","Bad Boy Reloaded",2003,"0:44"
"Skit","Dirty Harry (7)","Marshal Law",2003,""
"Skit Bubble Up","Dirty Mae","God Knows",0,""
"WDTP FM (Skit)","Dirty Wormz","The Infektion",2004,"0:20"
"DWZ Message (Skit)","Dirty Wormz","The Infektion",2004,"0:26"
"(Skit) Information Iz Power","Dirty Wormz","The Parazite",2009,"0:39"
"(Skit) Tranzformation #13","Dirty Wormz","The Parazite",2009,"0:32"
"(Skit) Legion Of Doom","Dirty Wormz","The Parazite",2009,"1:12"
"Not-So-Sexy Skit","Dislocated Boner","Beyond Belief",2008,"0:58"
"Behind The Chains (Skit)","Disturbing Tha Peace","Golden Grain",2002,""
"Big Chain Records (Skit)","Disturbing Tha Peace","Golden Grain",2002,""
"Yo Mama Skit Part 1","DJ Apollo (2)","Triple Threat Mixtapes No. 5 ""Get The F@#* Up!""",0,"0:58"
"Swarm 2000 (Instrumental) / The Vapors Skit","DJ Apollo (2)","Triple Threat Mixtapes No. 5 ""Get The F@#* Up!""",0,"0:53"
"Intro Skit / ""Waking Up A-Plus"" (Get The Fuck Up!)","DJ Apollo (2)","Triple Threat Mixtapes No. 5 ""Get The F@#* Up!""",0,"0:45"
"Yo Mama Skit Part II","DJ Apollo (2)","Triple Threat Mixtapes No. 5 ""Get The F@#* Up!""",0,"1:43"
"Where My N***as Iz At? - Party Skit","DJ Arson","Where's The Party At? Pt 4 Holiday Havoc 2K2",2002,""
"Crowd Around (Skit)","DJ Arson","Take Me On A Ride",2002,""
"Skit","DJ Arson","Where's The Party At? Pt 4 Holiday Havoc 2K2",2002,""
"Ball Til You Fall (Skit)","DJ Arson","Ball Til Ya Fall 2002 - Ballin' Out Of Control",2002,"0:32"
"Party Skit (Blend)","DJ Arson","Cruise Control 2003",2003,""
"Cadillac Pimpin' (Skit)","DJ Arson","Cruise Control 2003",2003,""
"You Big Dummy / Piano Skit","DJ Ayres","Ayres 'N' Titties",2006,"0:29"
"Cold Crush Skit","DJ Ayres","10.Deep / Tenth Division Mixtape Volume 6: Flashbacks!",2005,""
"We Live In The Club Skit","DJ Ayres","Ayres 'N' Titties",2006,"0:33"
"Turnup Skit","DJ Bear-One","Too High To Look Down",2013,"0:30"
"Skit","DJ Bless","A Perfect Murder (R.I.A.M.)",2007,""
"Violent Skit","DJ Bobby Black","Kitchens & Choppas",2014,""
"Violent Skit 2","DJ Bobby Black","Kitchens & Choppas",2014,""
"Back Door Skit","DJ Bobby Black","Kitchens & Choppas",2014,""
"Keep It Real Skit","DJ Bobby Black","Kitchens & Choppas",2014,""
"The Mack Skit","DJ Bobby Black","Kitchens & Choppas",2014,""
"Close The Door Skit","DJ Bobby Black","Kitchens & Choppas",2014,""
"Hustla Of The Year Skit","DJ Bobby Black","Kitchens & Choppas",2014,""
"Skit","DJ Butter"," Blunted Vol. 2",2003,"0:34"
"69 FM (Skit)","DJ Butter","Kill The DJ",2000,""
"Mad Man (Skit)","DJ Butter","Defending The Crown (Volume 1)",0,""
"High Class (Skit)","DJ Butter","Kill The DJ",2000,""
"Dirty Rat (Skit)","DJ Butter","Shit Happens",2001,""
"Smoke Break (Skit)","DJ Butter","Blunted Vol. 1",2003,"0:06"
"Chuck D Style (Skit)","DJ Butter","Blunted Vol. 7",2003,"0:21"
"Suck Our Balls (Skit)","DJ Butter","Defending The Crown (Volume 1)",0,""
"Skit & A Cold Piece Of Work","DJ Butter","Blunted Vol. 6",2003,"3:31"
"Needle Freakin' (Skit)","DJ Butter","Blunted Vol. 7",2003,"0:09"
"Haters Skit","DJ Cashis Kay","The Book Of Nasir - Chapter 1",2014,""
"Suck It Up Clay (Skit)","DJ Clay","A World Upside Down: A Mixxtape",2013,""
"Field Reporter Two (Skit)","DJ Clay","Book Of The Wicked Chapter One",2010,""
"Anchorman (Skit)","DJ Clay","Book Of The Wicked Chapter One",2010,""
"Shaggy Needs Love (Skit)","DJ Clay","A World Upside Down: A Mixxtape",2013,""
"Secretary Of Defense (Skit)","DJ Clay","Book Of The Wicked Chapter One",2010,""
"Field Reporter One (Skit)","DJ Clay","Book Of The Wicked Chapter One",2010,""
"Siri (Skit)","DJ Clay","A World Upside Down: A Mixxtape",2013,""
"Get Wild (Skit)","DJ Clay","Let 'Em Bleed: The Mixxtape Vol. 4",2009,""
"Rare Never Heard Before Milenko Skit","DJ Clay","Let 'Em Bleed: The Mixxtape Vol. 3",2008,""
"Intro Skit","DJ Clue","Presents: Backstage Mixtape (Music Inspired By The Film)",2000,"3:01"
"Pain In Da Ass (Skit)","DJ Clue","The Professional",1998,""
"Mariah Carey (Skit)","DJ Clue","The Professional",1998,""
"Chinease Buffet (Skit)","DJ D (4)","Tha Worldwide Playa",2002,""
"The Interview (Skit)","DJ D (4)","Tha Worldwide Playa",2002,""
"Big Business Skit","DJ Danny S.","Big Business Volume 11",2003,""
"Chronic Break Skit","DJ Danny S.","Blackout Volume 12",2003,""
"EBT Card (Skit) (Clean)","DJ Dez","A Piece Of The Action (Clean Edited Version)",2014,"0:19"
"EBT Card (Skit)","DJ Dez","A Piece Of The Action VINYL (2xLP)",2014,"0:19"
"4 In The Morning (Skit)","DJ DMD","Thirty-Three: Live From Hiroshima",2001,"1:22"
"Mad DJ Skit","DJ Drama","Gangsta Grillz: The Album",2007,""
"Diddy Skit","DJ Drama","Gangsta Grillz: The Album",2007,""
"The Singing Bums Skit","DJ Drama","Separate But Equal",2006,""
"Dough Skit","DJ Drama","The Notorious B.I.G. Tribute",2009,""
"Teedra Moses & MySpace Skit","DJ Drama","Separate But Equal",2006,""
"Horror Movie Skit","DJ Drama","Separate But Equal",2006,""
"Skit","DJ Eggnice","Chronic 3000 (Special Edition)",2006,"2:05"
"Keeping It 2 Real (Skit 1)","DJ Envy","The Co-Op",2007,""
"Keeping It 2 Real (Skit 3)","DJ Envy","The Co-Op",2007,""
"Keeping It 2 Real (Skit 2)","DJ Envy","The Co-Op",2007,""
"Dam Fam On Da Gram Skit","DJ Esco","56 Nights",2015,""
"The Return Of Abuu (Skit)","DJ Esco","No Sleep",2013,""
"Pauly (Skit)","DJ Esco","Black Woodstock: The Soundtrack",2013,"0:57"
"The Family (Skit)","DJ Esco","No Sleep",2013,""
"Its On Skit","DJ Fela","Niggaz Dont Die Part 1",1995,""
"Skit","DJ Fela","Niggaz Dont Die Part 1",1995,""
"Suck A Dick Skit","DJ Fela","Niggaz Dont Die Part 1",1995,""
"Fuck U 2 Bitch Skit","DJ Fela","Niggaz Dont Die Part 1",1995,""
"Killer Call (Skit)","DJ Fire (5)","Dark Rituals",2010,""
"Skit","DJ Fresh (7)","The Tonight Show With The Jacka",2013,""
"Hey Z-Trip Bring It Back (Skit)","DJ History","History Of The Hip Hop DJ Volume 6 Presents DJ Z-Trip",0,"0:07"
"Skit","DJ Ideal (2)","Da Bottom 1 - The Lost Album",2005,"0:17"
"Jahova Witness Skit","DJ Ideal (2)","Da Bottom Part Six",2005,""
"Skit","DJ Infamous","Money Swag",2009,""
"Sho Guns Skit","DJ Infamous","Money Swag",2009,""
"Skit","DJ Jelly","The Best Of Three 6 Mafia",2006,""
"Shit Smells (Skit)","DJ Ju Ju","Pass Me My Crown",2002,""
"Skit","DJ Juice","Volume #38",1998,""
"(Skit) Straight Stuntin Magazine Photo Shoot","DJ Kay Slay","More Than Just A DJ",2010,""
"(Skit) Building With The God","DJ Kay Slay","More Than Just A DJ",2010,""
"Skit","DJ Kid Slizzard","For The Weed Smokers",2013,""
"Come Up With My Cash (Skit)","DJ Lt. Dan","Hip Hop Is Certain",2004,""
"Get Your Own Shit (Skit - Infamous Radio)","DJ Monky","Nothin's Better Vol. 2",2005,""
"Rapordy Pt. 2 (Skit)","DJ Next (2)","A Vibe Called Next - Mixtape # 7,777,777",1999,""
"Skit: James Earl Jones","DJ Next (2)","Back To The Grill, Again",2007,"1:39"
"Rapordy (Skit)","DJ Next (2)","A Vibe Called Next - Mixtape # 7,777,777",1999,""
"Rapordy Pt. 3 (Skit)","DJ Next (2)","A Vibe Called Next - Mixtape # 7,777,777",1999,""
"Perverted Monks In The House (Skit)","DJ Nu-Mark","Hands On",2004,"0:24"
"(Skit)","DJ Nu-Mark","Hands On",2004,"0:33"
"Mr. Booty Skit","DJ Papito Red","El Mas Esperado",2006,"0:54"
"You Gonna Change (Skit)","DJ Paul (3)","Vol.15 ""For Them Niggaz W/ Anna""",1994,""
"Telephone Skit (Deez Nuts)","DJ Paul (3)","Volume 12, Part 1",1993,""
"Skit","DJ Pearl Harba","Best Of OutKast",0,"0:25"
"Skit (DJ Pearl Harba Mix)","DJ Pearl Harba","Best Of OutKast",0,"0:30"
"Skit (Y'all Embarrassing & Ignant)","DJ Phonetic","Def Vs Doom",2006,""
"Skit (It's Over)","DJ Phonetic","Def Vs Doom",2006,""
"Skit (Go Back Home Doom)","DJ Phonetic","Def Vs Doom",2006,""
"Skit (Doom's On The Influence)","DJ Phonetic","Def Vs Doom",2006,""
"Skit (Ain't Afraid Of Women)","DJ Phonetic","Def Vs Doom",2006,""
"Skit (Doom Pulled A Switch)","DJ Phonetic","Def Vs Doom",2006,""
"Skit (Doom & Def On Hip Hop)","DJ Phonetic","Def Vs Doom",2006,""
"Skit","DJ Premier","Crooklyn Cuts Vol. 1 - East New York",0,""
"Skit","DJ Pyra-C","Huntsville Heat Volume 1.5",2009,"0:37"
"The B Stands For Beautiful (Skit)","DJ Quik","BlaQKout",2009,"1:21"
"Lockdown Skit","DJ Raw (7)","Rated XXX",1996,""
"Step Into A World Remix Skit","DJ Rectangle","Deadly Needles",2005,"0:20"
"Put Your Hands Where My Eyes Could See (Skit)","DJ Rectangle","The Lightning Fist",2000,"0:58"
"Fast Live Skit","DJ Rectangle","Vinyl Kombat",2005,"0:41"
"Get Right Skit","DJ Rectangle","Pyro Technics",2005,""
"The Main Event (Skit)","DJ Rectangle","Faders Of Fury",2004,""
"Live Skit","DJ Rectangle","Vinyl Kombat",2005,"1:18"
"Never Seen Before Skit","DJ Rectangle","Deadly Needles",2005,"0:21"
"Skit","DJ Rectangle","Behind Bars",1999,"0:20"
"Fades 'Em All Skit","DJ Rectangle","Vinyl Kombat",2005,"0:51"
"Porn Skit","DJ Riz","In The Mix",1997,""
"Intro Skit","DJ Roli Fingaz","Wassup",0,""
"Skit 9","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 17","DJ Rukiz","Almost Rich Bitch",0,""
"Skit","DJ Rukiz","Almost Rich Bitch",0,""
"Holla (Skit)","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 14","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 1","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 4","DJ Rukiz","Almost Rich Bitch",0,""
"Keepin' It Real Skit 8","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 18","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 11","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 16","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 3","DJ Rukiz","Almost Rich Bitch",0,""
"Robbery Skit","DJ Rukiz","Almost Rich Bitch",0,""
"Animal Skit 7","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 2","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 15","DJ Rukiz","Almost Rich Bitch",0,""
"R. Kelly Skit 6","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 19","DJ Rukiz","Almost Rich Bitch",0,""
"Snoop Skit 5","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 12","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 10","DJ Rukiz","Almost Rich Bitch",0,""
"Skit 13","DJ Rukiz","Almost Rich Bitch",0,""
"Skit #4","DJ Scream (5)","Boss Lady",2008,"0:25"
"Skit #5","DJ Scream (5)","Boss Lady",2008,"0:21"
"Skit #3","DJ Scream (5)","Boss Lady",2008,"0:22"
"Skit #2","DJ Scream (5)","Boss Lady",2008,"0:07"
"Skit","DJ Scream (5)","Boss Lady",2008,"0:30"
"East-Side Skit","DJ Scream (5)","Who The F#*k Is B.o.B?",2008,"1:10"
"ESG Skit","DJ Screw (2)","The Untold Story",2007,""
"C-Note Skit","DJ Screw (2)","The Untold Story",2007,""
"Def, Dumb & Blind (Skit)","DJ Screw (2)","You Gottus Fuxxed Up",1998,"1:33"
"Skit","DJ Screw (2)","Street Game",2000,""
"History Lesson Skit","DJ Screw (2)","The Untold Story",2007,""
"3-2 Skit","DJ Screw (2)","The Untold Story",2007,""
"South Central (Skit)","DJ Skee (2)","CT Experience",2006,"0:38"
"You Can Have A Crazy Tape (Skit)","DJ Skee (2)","CT Experience",2006,"1:07"
"The Power Of Mix-t-a-p-e-s (Skit)","DJ Skee (2)","CT Experience",2006,"1:41"
"Definition Of A Mixtape (Skit)","DJ Skee (2)","CT Experience",2006,"2:11"
"Rappers Gone Wild (Skit)","DJ Smallz","Southern Smoke 15 - Boss Hogg Outlawz",2004,"0:20"
